Stock Name,CMP,MintingM Score,RS (1-100),SMA 200,SuperTrend,1 Day Return (%),1 Week Return (%),1M Return (%),3M Return (%),6M Return (%),9M Return (%),12M Return (%),Sharpe,Signal,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM,Last updated,TradingView Link
STLTECH,517.1,100.0,100.0,240.26,620.34,-4.78,-11.63,-15.06,101.72,450.4,336.81,353.08,0.98,SELL,345.83,447.06,14.64,9.37,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:STLTECH
HFCL,213.59,99.87,99.87,100.71,195.37,-1.68,-5.05,18.37,133.48,229.16,188.71,158.58,3.44,BUY,142.36,82.85,50.66,14.76,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:HFCL
CEMPRO,1588.9,99.6,99.46,817.18,1397.1,1.41,4.44,34.82,145.71,124.95,97.15,85.06,4.59,HOLD,178.23,118.39,28.42,10.73,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:CEMPRO
THANGAMAYL,6425.5,99.53,99.6,3693.88,5860.0,-1.76,2.27,16.8,50.18,77.48,216.32,238.16,2.7,BUY,196.04,36.15,18.2,7.14,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:THANGAMAYL
KIRLOSENG,2532.8,99.46,99.33,1415.48,2590.57,1.64,11.79,30.98,56.64,114.79,187.3,178.51,3.34,SELL,21.03,42.4,13.01,15.42,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:KIRLOSENG
MTARTECH,6746.0,99.2,99.73,4129.65,8042.83,-5.0,-4.27,-8.14,39.84,150.81,245.56,339.05,0.09,SELL,177.39,27.66,10.64,17.42,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:MTARTECH
BALAMINES,2385.8,99.06,98.79,1372.77,2069.72,-1.21,11.24,13.73,109.1,105.93,76.08,35.35,3.37,HOLD,57.77,101.09,19.16,20.34,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:BALAMINES
GRWRHITECH,7001.5,99.0,98.93,4210.89,6309.71,0.48,-0.28,10.77,76.48,130.26,137.27,90.2,2.06,BUY,39.09,94.03,30.07,20.69,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:GRWRHITECH
SPARC,263.39,98.86,98.53,153.65,241.29,-0.46,0.64,15.0,72.71,98.97,105.73,62.34,2.74,BUY,3046.86,2290.18,21831.6,95.55,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:SPARC
AEGISLOG,1265.5,98.6,98.26,766.07,1190.0,1.56,-9.72,29.25,92.9,70.36,57.54,70.76,4.73,HOLD,45.69,132.07,50.36,22.03,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:AEGISLOG
WELCORP,1624.1,98.59,98.39,993.21,1469.71,0.71,5.22,18.1,51.29,116.2,91.27,80.85,3.07,HOLD,-45.11,-18.17,-4.85,9.52,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:WELCORP
ACUTAAS,3470.4,98.46,99.2,2210.18,3346.38,2.05,-1.26,12.07,48.28,105.93,144.15,191.93,1.93,BUY,0.0,143.74,89.73,35.82,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:ACUTAAS
SKYGOLD,622.95,98.26,97.99,387.04,549.8,-0.14,12.12,16.73,44.97,84.47,84.85,91.09,2.66,HOLD,120.77,4.65,8.14,7.13,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:SKYGOLD
ATHERENERG,1214.9,98.19,99.06,781.62,1106.28,-0.89,7.95,18.25,40.27,91.84,94.68,253.94,2.32,BUY,57.23,-18.48,23.18,-10.33,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:ATHERENERG
SYRMA,1441.5,98.12,98.12,909.06,1327.62,-0.72,3.62,10.79,48.8,101.68,75.42,107.66,2.71,HOLD,54.64,-1.55,15.89,10.43,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:SYRMA
SANSERA,3307.7,98.06,98.66,2118.59,3002.01,0.11,3.67,12.5,37.99,82.46,133.23,140.92,2.33,BUY,0.0,0.0,0.0,0.0,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:SANSERA
SHILPAMED,624.95,97.72,97.18,392.51,556.34,-0.35,4.73,17.31,51.69,107.18,69.36,40.21,2.97,HOLD,0.0,0.0,0.0,0.0,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:SHILPAMED
ASTRAMICRO,1750.9,97.72,97.45,1105.3,1676.76,-2.93,-5.36,20.09,62.92,77.45,50.63,76.44,3.08,HOLD,44.22,126.38,87.61,30.61,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:ASTRAMICRO
AVALON,1730.8,97.46,97.86,1137.82,1604.98,-2.11,-0.36,-1.66,57.07,91.81,40.12,97.91,1.77,HOLD,69.51,26.22,14.93,10.12,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:AVALON
PARAS,1223.0,97.46,97.05,775.35,1390.55,-2.4,-9.97,10.36,57.46,79.8,69.71,51.4,2.38,SELL,74.34,88.8,61.08,22.3,2026-07-13 12:15,https://in.tradingview.com/chart/?symbol=NSE:PARAS
